Project,Package,Module,Class,LOC,WMC,NOM,NOPM,NOF,NOPF,LCOM,Fan-In,Fan-Out,DIT,File
backend,backend,conftest,,0,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\conftest.py
backend,backend,main,,5,1,1,1,4,4,0,0,0,0,C:\Users\Adity\Downloads\group02\backend\main.py
backend,backend,__init__,,0,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\__init__.py
backend,backend.alembic,env,,29,2,2,2,3,3,1,0,0,0,C:\Users\Adity\Downloads\group02\backend\alembic\env.py
backend,backend.alembic.versions,68c463596ebb_added_columns,,4,2,2,2,4,4,1,0,0,0,C:\Users\Adity\Downloads\group02\backend\alembic\versions\68c463596ebb_added_columns.py
backend,backend.auth,__init__,,0,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\auth\__init__.py
backend,backend.auth.email_verification,router,,8,2,2,2,2,2,1,0,1,0,C:\Users\Adity\Downloads\group02\backend\auth\email_verification\router.py
backend,backend.auth.email_verification,schemas,,2,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\auth\email_verification\schemas.py
backend,backend.auth.email_verification,schemas,SendCodeRequest,1,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\auth\email_verification\schemas.py
backend,backend.auth.email_verification,schemas,VerifyCodeRequest,1,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\auth\email_verification\schemas.py
backend,backend.auth.email_verification,service,,43,9,0,0,4,4,-1,1,1,0,C:\Users\Adity\Downloads\group02\backend\auth\email_verification\service.py
backend,backend.auth.email_verification,service,VerificationService,43,9,4,3,1,1,0.25,0,1,0,C:\Users\Adity\Downloads\group02\backend\auth\email_verification\service.py
backend,backend.auth.email_verification,__init__,,0,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\auth\email_verification\__init__.py
backend,backend.auth.email_verification.tests,test_email_verification,,56,6,6,6,6,6,1,0,0,0,C:\Users\Adity\Downloads\group02\backend\auth\email_verification\tests\test_email_verification.py
backend,backend.auth.email_verification.tests,__init__,,0,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\auth\email_verification\tests\__init__.py
backend,backend.auth.login,router,,5,1,1,1,2,2,0,0,0,0,C:\Users\Adity\Downloads\group02\backend\auth\login\router.py
backend,backend.auth.login,schemas,,2,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\auth\login\schemas.py
backend,backend.auth.login,schemas,Token,1,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\auth\login\schemas.py
backend,backend.auth.login,schemas,TokenData,1,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\auth\login\schemas.py
backend,backend.auth.login,service,,43,11,1,1,5,5,0,2,3,0,C:\Users\Adity\Downloads\group02\backend\auth\login\service.py
backend,backend.auth.login,service,LoginService,40,10,5,4,1,1,0.2,1,1,0,C:\Users\Adity\Downloads\group02\backend\auth\login\service.py
backend,backend.auth.login,__init__,,0,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\auth\login\__init__.py
backend,backend.auth.login.tests,test_login,,49,6,0,0,4,4,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\auth\login\tests\test_login.py
backend,backend.auth.login.tests,test_login,TestLogin,49,6,6,6,3,3,0.33,0,0,0,C:\Users\Adity\Downloads\group02\backend\auth\login\tests\test_login.py
backend,backend.auth.login.tests,__init__,,0,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\auth\login\tests\__init__.py
backend,backend.auth.logout,router,,8,1,1,1,3,3,0,0,1,0,C:\Users\Adity\Downloads\group02\backend\auth\logout\router.py
backend,backend.auth.logout,service,,8,2,0,0,1,1,-1,2,1,0,C:\Users\Adity\Downloads\group02\backend\auth\logout\service.py
backend,backend.auth.logout,service,LogoutService,8,2,2,1,1,1,0,1,1,0,C:\Users\Adity\Downloads\group02\backend\auth\logout\service.py
backend,backend.auth.logout,__init__,,0,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\auth\logout\__init__.py
backend,backend.auth.logout.tests,test_logout,,21,3,3,3,4,4,1,0,1,0,C:\Users\Adity\Downloads\group02\backend\auth\logout\tests\test_logout.py
backend,backend.auth.logout.tests,__init__,,0,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\auth\logout\tests\__init__.py
backend,backend.auth.models,token_models,,5,0,0,0,0,0,-1,2,0,0,C:\Users\Adity\Downloads\group02\backend\auth\models\token_models.py
backend,backend.auth.models,token_models,BlacklistedToken,5,0,0,0,4,3,-1,1,0,0,C:\Users\Adity\Downloads\group02\backend\auth\models\token_models.py
backend,backend.auth.models,user_models,,28,2,0,0,0,0,-1,6,0,0,C:\Users\Adity\Downloads\group02\backend\auth\models\user_models.py
backend,backend.auth.models,user_models,User,28,2,2,1,11,10,0,1,0,0,C:\Users\Adity\Downloads\group02\backend\auth\models\user_models.py
backend,backend.auth.models,__init__,,0,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\auth\models\__init__.py
backend,backend.auth.password_reset,router,,16,5,5,4,2,2,0,0,0,0,C:\Users\Adity\Downloads\group02\backend\auth\password_reset\router.py
backend,backend.auth.password_reset,schemas,,5,1,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\auth\password_reset\schemas.py
backend,backend.auth.password_reset,schemas,ForgotPasswordRequest,1,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\auth\password_reset\schemas.py
backend,backend.auth.password_reset,schemas,VerifyResetCodeRequest,1,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\auth\password_reset\schemas.py
backend,backend.auth.password_reset,schemas,ResetPasswordConfirm,3,1,1,1,0,0,0,0,0,0,C:\Users\Adity\Downloads\group02\backend\auth\password_reset\schemas.py
backend,backend.auth.password_reset,service,,69,14,0,0,4,4,-1,0,1,0,C:\Users\Adity\Downloads\group02\backend\auth\password_reset\service.py
backend,backend.auth.password_reset,service,PasswordResetService,69,14,5,4,1,1,0.2,0,1,0,C:\Users\Adity\Downloads\group02\backend\auth\password_reset\service.py
