Project,Package,Module,Class,Method,LOC,CC,PC
backend,backend,main,,lifespan,5,1,1
backend,backend.alembic,env,,run_migrations_offline,12,1,0
backend,backend.alembic,env,,run_migrations_online,17,1,0
backend,backend.alembic.versions,68c463596ebb_added_columns,,upgrade,2,1,0
backend,backend.alembic.versions,68c463596ebb_added_columns,,downgrade,2,1,0
backend,backend.auth.email_verification,router,,send_code,4,1,2
backend,backend.auth.email_verification,router,,verify_email,4,1,2
backend,backend.auth.email_verification,service,VerificationService,__init__,2,1,1
backend,backend.auth.email_verification,service,VerificationService,generate_code,2,1,1
backend,backend.auth.email_verification,service,VerificationService,send_verification_code,16,2,1
backend,backend.auth.email_verification,service,VerificationService,verify_email,21,5,2
backend,backend.auth.email_verification.tests,test_email_verification,,test_send_code_success,4,1,2
backend,backend.auth.email_verification.tests,test_email_verification,,test_verify_success,9,1,3
backend,backend.auth.email_verification.tests,test_email_verification,,test_verify_wrong_code,10,1,3
backend,backend.auth.email_verification.tests,test_email_verification,,test_verify_expired_code,15,1,4
backend,backend.auth.email_verification.tests,test_email_verification,,test_verify_no_code_sent,9,1,2
backend,backend.auth.email_verification.tests,test_email_verification,,test_verify_user_not_found,9,1,2
backend,backend.auth.login,router,,login,5,1,2
backend,backend.auth.login,service,LoginService,__init__,2,1,1
backend,backend.auth.login,service,LoginService,authenticate_user,14,4,2
backend,backend.auth.login,service,LoginService,create_access_token,8,2,2
backend,backend.auth.login,service,LoginService,login_user,8,1,2
backend,backend.auth.login,service,LoginService,get_current_user_id,6,2,1
backend,backend.auth.login,service,,login_user,3,1,3
backend,backend.auth.login.tests,test_login,TestLogin,test_login_success,9,1,3
backend,backend.auth.login.tests,test_login,TestLogin,test_login_wrong_password,10,1,3
backend,backend.auth.login.tests,test_login,TestLogin,test_login_unverified_email,9,1,2
backend,backend.auth.login.tests,test_login,TestLogin,test_login_missing_fields,6,1,1
backend,backend.auth.login.tests,test_login,TestLogin,test_login_empty_credentials,6,1,1
backend,backend.auth.login.tests,test_login,TestLogin,test_login_invalid_email,6,1,1
backend,backend.auth.logout,router,,logout,8,1,2
backend,backend.auth.logout,service,LogoutService,__init__,2,1,1
backend,backend.auth.logout,service,LogoutService,logout_user,4,1,2
backend,backend.auth.logout.tests,test_logout,,test_logout_success,10,1,2
backend,backend.auth.logout.tests,test_logout,,test_logout_blacklisted,8,1,2
backend,backend.auth.logout.tests,test_logout,,test_logout_no_auth_header,3,1,1
backend,backend.auth.models,user_models,User,to_dict,12,1,0
backend,backend.auth.models,user_models,User,__repr__,4,1,0
backend,backend.auth.password_reset,router,,_service,2,1,1
backend,backend.auth.password_reset,router,,forgot_password,3,1,2
backend,backend.auth.password_reset,router,,verify_reset_code,3,1,2
backend,backend.auth.password_reset,router,,resend_reset_code,3,1,2
backend,backend.auth.password_reset,router,,reset_password,5,1,2
backend,backend.auth.password_reset,schemas,ResetPasswordConfirm,strong_password,2,1,2
backend,backend.auth.password_reset,service,PasswordResetService,__init__,2,1,1
backend,backend.auth.password_reset,service,PasswordResetService,generate_code,2,1,1
backend,backend.auth.password_reset,service,PasswordResetService,initiate_password_reset,22,3,1
backend,backend.auth.password_reset,service,PasswordResetService,verify_password_reset_code,17,4,2
backend,backend.auth.password_reset,service,PasswordResetService,confirm_password_reset,24,5,3
backend,backend.auth.password_reset.tests,test_password_reset,,test_forgot_password_and_reset,28,1,4
backend,backend.auth.password_reset.tests,test_password_reset,,test_forgot_pwd_missing_user,8,1,1
backend,backend.auth.password_reset.tests,test_password_reset,,test_reset_password_bad_code,20,1,2
backend,backend.auth.register,router,,register,5,1,2
backend,backend.auth.register,schemas,UserCreate,strong_password,2,1,2
backend,backend.auth.register,schemas,RegisterRequest,strong_password,2,1,2
backend,backend.auth.register,schemas,,validate_strong_password,4,2,1
backend,backend.auth.register,service,RegisterService,__init__,2,1,1
backend,backend.auth.register,service,RegisterService,register_user,12,2,1
backend,backend.auth.register.tests,test_register,,test_register_success,4,1,1
backend,backend.auth.register.tests,test_register,,test_register_duplicate_email,6,1,1
